UBO,gbXML,gbXML_geometryPath,IFC,IFC_geometryPath
,Opening ,IfcOpeningElement-IfcOpeningStandardCase,,
,OperationRange ,IfcValue,,
,OperationSchedule ,IfcTask-IfcWorkSchedule,,
,PeakDomesticHotWaterFlow ,Pset_BoilerTypeWater-IfcVolumetricFlowRateMeasure,,
,PeopleHeatGain ,Pset_SpaceThermalLoad,,
,PeopleNumber ,Pset_SpaceOccupancyRequirements,,
,PercentAreaDaylitControlled ,IfcSensor-IfcSensorType-Pset_SensorTypeLightSensor-IfcRatioMeasure,,
,PercentExisting ,Pset_BuildingUse-IfcRatioMeasure,,
,Performance ,IfcPerformanceHistory,,
,Permeance ,Pset_MaterialHygroscopic,,
,PersonInfo ,IfcPersonAndOrganization,,
,PhoneNumber ,null,,
,Photometry ,IfcLightSource-IfcLightEmissionSourceEnum,,
,PhotometryOrientation ,IfcLightSourceSpot,,
,PlanarGeometry ,IfcTopologicalRepresentationItem,,
,Platform ,null,,
,PointData ,IfcPoint,,
,PolyLoop ,IfcLoop,,
,Porosity ,Pset_MaterialHygroscopic,,
,Power ,IfcPowerMeasure,,
,PrandtlNumber ,IfcKinematicViscosityMeasure,,
,PrandtlNumberFofT ,IfcDynamicViscosityMeasure,,
,PressureControl ,Pset_FlowInstrumentTypePressureGauge,,
,ProductName ,IfcProduct,,
,ProgramInfo ,null,,
,ProjectEntity ,IfcProject-IfcSingleProjectInstance,,
,R-value ,IfcThermalResistanceMeasure,,
,RatedFlow ,IfcFlowController,,
,RecircFlow ,IfcVolumetricFlowRateMeasure,,
,RectangularGeometry ,IfcSimpleProperty-IfcSimplePropertyTemplate,,
,RecycledContent ,IfcMaterial-IfcMaterialProperties-IfcExtendedProperties,,
,Reference ,IfcReference-IfcExternalReferenceResource-IfcURIReference,,
,Reflectance ,IfcSurfaceStyle-IfcSurfaceStyleLighting,,
,RefrigerantType ,IfcCoolingTowerType-IfcEvaporativeCoolerType-IfcCooledBeamType,,
,ResetTemperature ,IfcThermodynamicTemperatureMeasure,,
,Results ,IfcStructuralResultGroup-IfcBooleanClippingResult-IfcBooleanResult-IfcStructuralLoadOrResult,,
,Roughness ,IfcSpecularRoughness,,
,RTSParameters ,IfcGroup-IfcStructuralLoadGroup,,
,Schedule ,IfcTask,,
,ScheduleValue ,IfcTaskType,,
,Setback ,Qto_OpeningElementBaseQuantities,,
,ShadeControl ,IfcShadingDevice-IfcShadingDeviceType,,
,ShadeSchedule ,IfcTask-IfcTaskType-IfcShadingDevice,,
,ShadingCoeff ,Pset_DoorWindowShadingType-IfcSurfaceStyleShading-IfcShadingDeviceType-Pset_ShadingDeviceCommon,,
,ShellGeometry ,IfcConnectionSurfaceGeometry,,
,SinkRate ,IfcSanitaryTerminal-Pset_SanitaryTerminalTypeCommon,,
,SolarHeatGainCoeff ,Pset_DoorWindowGlazingType,,
,SolarOnOpening ,Pset_DoorWindowGlazingType,,
Space,Space ,IfcSpace,,
,SpaceBoundary ,IfcRelSpaceBoundary-IfcSpaceBoundarySelect-IfcSpatialElement-IfcSpatialElementType-IfcSpatialStructureElement-IfcSpatialStructureElementType,,
,SpecificHeat ,IfcSpecificHeatCapacityMeasure,,
,State ,IfcAddress-IfcPostalAddress,,
,StateOrProvince ,IfcAddress-IfcPostalAddress,,
,StationId ,IfcOrganization-IfcSpatialZone,,
,StreetAddress ,IfcAddress-IfcPostalAddress,,
SpaceBoundary,Surface ,IfcSurface,,
,Temp ,IfcThermodynamicTemperatureMeasure,,
,Temperature ,IfcThermodynamicTemperatureMeasure,,
,TemperatureControl ,IfcTemperatureRateOfChangeMeasure-IfcTemperatureGradientMeasure,,
SpaceBoundaryElement-Property,Thickness ,IfcMlsTotalThickness,,
,Tilt ,IfcPropertySingleValue,,
,TimeIncrement ,IfcEventTime,,
,Transmittance ,IfcThermalTransmittanceMeasure,,
,Transportation ,IfcConstructionEquipmentResource,,
,TypeCode ,null,,
,U-value ,IfcThermalConductivityMeasure,,
,URI ,IfcURIReference,,
,UtilityRate ,IfcCostSchedule,,
